上櫃公布注意有價證券資訊 
期間:115/01/02~115/01/07，查詢範圍:全部上櫃有價證券
編號,證券代號,證券名稱,注意交易資訊,公告日期,收盤價,本益比
"30","6245","立端","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達10.15%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為4倍(第十二款)","115/01/06","66.70","14.19"
"31","6265","方土昶","最近六個營業日(含當日)累積之最後成交價漲幅達35.63%(第一款)","115/01/06","34.05","N/A"
"32","6270","倍微","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為6.75倍，當日成交量較最近六十個營業日之日平均成交量放大為22.37倍(第九款)","115/01/06","24.70","18.85"
"33","7728","光焱科技","最近六個營業日(含當日)累積之最後成交價漲幅達26.72%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣123.5元(第一款)","115/01/06","580.00","178.46"
"34","8043","蜜望實","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達67.89%，當日之前一個營業日當日沖銷成交量占總成交量達62.94%（第十三款)","115/01/06","83.90","1678.00"
"35","8240","華宏","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為6.76倍，當日成交量較最近六十個營業日之日平均成交量放大為20.9倍(第九款)","115/01/06","41.20","24.09"
"36","8299","群聯","最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達236.35%(第二款)","115/01/06","1615.00","51.32"
"37","82992","群聯二","最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達164.86%(第二款)","115/01/06","294.00","N/A"
"38","8358","金居","當日本益比為78.08、股價淨值比為9.64且為其所屬產業類別股價淨值比之3.14倍、當日週轉率達5.15%(第六款)","115/01/06","272.50","78.08"
"39","30061","晶豪科一","最近六個營業日(含當日)累積之最後成交價漲幅達30.17%(第一款)","115/01/05","167.00","N/A"
"40","3163","波若威","當日本益比為77.04、股價淨值比為11.33且為其所屬產業類別股價淨值比之2.55倍、當日週轉率達16.51%(第六款)","115/01/05","396.00","77.04"
"41","3260","威剛","最近六個營業日(含當日)累積之最後成交價漲幅達27.02%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣68.5元(第一款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達200.82%(第二款)","115/01/05","290.00","27.23"
"42","3264","欣銓","最近六個營業日(含當日)累積之最後成交價漲幅達31.18%(第一款)","115/01/05","125.50","25.25"
"43","3360","尚立","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.75倍，當日成交量較最近六十個營業日之日平均成交量放大為20.47倍(第九款)","115/01/05","15.75","N/A"
"44","3363","上詮","當日本益比為6,321.43、股價淨值比為17.9且為其所屬產業類別股價淨值比之4.03倍、當日週轉率達5.44%(第六款)","115/01/05","442.50","6321.43"
"45","3455","由田","最近六個營業日(含當日)累積之最後成交價漲幅達29.55%，當日之成交量較最近六十個營業日日平均成交量放大8.78倍(第三款)當日週轉率達11.34%(第四款)","115/01/05","122.00","25.74"
"46","3491","昇達科","當日本益比為111.18、股價淨值比為18.86且為其所屬產業類別股價淨值比之4.24倍、當日週轉率達5.21%(第六款)","115/01/05","766.00","111.18"
"47","3580","友威科","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.67倍，當日成交量較最近六十個營業日之日平均成交量放大為10.49倍(第九款)","115/01/05","70.80","33.88"
"48","3623","富晶通","最近六個營業日(含當日)累積之最後成交價漲幅達27.88%，當日之成交量較最近六十個營業日日平均成交量放大7.87倍(第三款)","115/01/05","28.60","N/A"
"49","3624","光頡","最近六個營業日(含當日)之累積週轉率為90.08%，當日週轉率達25.04%(第十款)最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達60.84%，當日之前一個營業日當日沖銷成交量占總成交量達70.7%（第十三款)","115/01/05","61.80","38.39"
"50","3680","家登","最近六個營業日(含當日)累積之最後成交價漲幅達26.61%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣81元(第一款)","115/01/05","408.00","59.22"
"51","4304","勝昱","最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達255.16%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達284.61%(第二款)","115/01/05","32.00","N/A"
"52","4772","台特化","當日本益比為101.54、股價淨值比為16.03且為其所屬產業類別股價淨值比之5.22倍、當日週轉率達7.05%(第六款)","115/01/05","362.50","101.54"
"53","5351","鈺創","最近六個營業日(含當日)累積之最後成交價漲幅達40.7%(第一款)當日週轉率達14.39%(第四款)","115/01/05","61.30","N/A"
"54","6223","旺矽","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣210元(第十一款)","115/01/05","2150.00","69.33"
"55","6265","方土昶","最近六個營業日(含當日)累積之最後成交價漲幅達46.06%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達110.46%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達169.29%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達219.62%(第二款)當日週轉率達7.69%(第四款)前一個營業日券資比達40.55%，且前一個營業日之券資比較最近六個營業日之最低券資比放大四倍以上(第七款)","115/01/05","34.20","N/A"
"56","6461","益得","最近六個營業日(含當日)累積之最後成交價漲幅達39.88%(第一款)當日之成交量較最近六十個營業日日平均成交量放大13.76倍(第三款)","115/01/05","21.50","N/A"
"57","6640","均華","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣119元(第十一款)","115/01/05","718.00","48.94"
"58","7728","光焱科技","最近六個營業日(含當日)累積之最後成交價漲幅達35.41%(第一款)","115/01/05","590.00","181.54"
"59","8068","全達","最近六個營業日(含當日)累積之最後成交價漲幅達30.43%(第一款)","115/01/05","26.75","17.26"
"60","8299","群聯","最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達207.86%(第二款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣160元(第十一款)","115/01/05","1470.00","46.71"
"61","8358","金居","當日本益比為78.22、股價淨值比為9.66且為其所屬產業類別股價淨值比之3.15倍、當日週轉率達12.69%(第六款)","115/01/05","273.00","78.22"
"62","30061","晶豪科一","最近六個營業日(含當日)累積之最後成交價漲幅達31.53%(第一款)","115/01/02","161.00","N/A"
"63","31351","凌航一","最近六個營業日(含當日)累積之最後成交價漲幅達31.77%(第一款)","115/01/02","165.00","N/A"
"64","3260","威剛","最近六個營業日(含當日)累積之最後成交價漲幅達33.46%(第一款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達193.71%(第二款)最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達60.12%，當日之前一個營業日當日沖銷成交量占總成交量達71.32%（第十三款)","115/01/02","280.50","26.34"
"65","3264","欣銓","最近六個營業日(含當日)累積之最後成交價漲幅達34.5%(第一款)當日週轉率達10.25%(第四款)","115/01/02","126.50","25.45"
"66","3363","上詮","當日本益比為6,478.57、股價淨值比為18.35且為其所屬產業類別股價淨值比之4.03倍、當日週轉率達7.89%(第六款)","115/01/02","453.50","6478.57"
"67","3455","由田","最近六個營業日(含當日)累積之最後成交價漲幅達28.22%，當日之成交量較最近六十個營業日日平均成交量放大11.7倍(第三款)當日週轉率達13.01%(第四款)","115/01/02","119.50","25.21"
"68","4304","勝昱","最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達255.94%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達280.69%(第二款)","115/01/02","31.75","N/A"
"69","4749","新應材","當日本益比為91.26、股價淨值比為9.81且為其所屬產業類別股價淨值比之2.93倍、當日週轉率達6.37%(第六款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣120元(第十一款)","115/01/02","940.00","91.26"
"70","4772","台特化","當日本益比為97.20、股價淨值比為15.35且為其所屬產業類別股價淨值比之5.09倍、當日週轉率達6.63%、單一投資人當日買進該有價證券之成交金額達3.59億元，且占當日該有價證券之總成交金額10.75%(第六款)","115/01/02","347.00","97.20"
"71","4979","華星光","當日本益比為68.09、股價淨值比為12.51且為其所屬產業類別股價淨值比之2.74倍、當日週轉率達17.32%(第六款)最近六個營業日(含當日)之累積週轉率為136.56%(第十款)","115/01/02","327.50","68.09"
"72","5351","鈺創","最近六個營業日(含當日)累積之最後成交價漲幅達33.95%(第一款)當日週轉率達10.47%(第四款)","115/01/02","55.80","N/A"
"73","5452","佶優","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.54倍，當日成交量較最近六十個營業日之日平均成交量放大為13.55倍(第九款)","115/01/02","30.90","63.06"
"74","6265","方土昶","最近六個營業日(含當日)累積之最後成交價漲幅達50.87%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達166.53%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達220.09%(第二款)當日之成交量較最近六十個營業日日平均成交量放大7.41倍(第三款)當日週轉率達56.94%(第四款)","115/01/02","33.45","N/A"
"75","7728","光焱科技","最近六個營業日(含當日)累積之最後成交價漲幅達31.98%(第一款)當日之成交量較最近六十個營業日日平均成交量放大5.31倍(第三款)當日週轉率達5.87%(第四款)","115/01/02","607.00","186.77"
"76","7734","印能科技","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣128元(第十一款)","115/01/02","998.00","27.62"
"77","8068","全達","最近六個營業日(含當日)累積之最後成交價漲幅達34.08%(第一款)當日之成交量較最近六十個營業日日平均成交量放大7.99倍(第三款)當日週轉率達6.69%(第四款)","115/01/02","28.05","18.10"
"78","8358","金居","當日本益比為83.09、股價淨值比為10.26且為其所屬產業類別股價淨值比之3.28倍、當日週轉率達22.34%(第六款)","115/01/02","290.00","83.09"
"79","84221","可寧衛一","最近六個營業日(含當日)累積之最後成交價漲幅達26.35%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣50元(第一款)","115/01/02","218.00","N/A"
"80","8431","匯鑽科","最近六個營業日(含當日)之累積週轉率為82.57%，當日週轉率達24.24%(第十款)","115/01/02","74.10","N/A"
"總累計次數: 80"
